Entry Date,Entry Price,Stop Loss (Initial),Risk Per Share,Risk Per Trade,Quantity,Total Buy Value,Exit Price,Exit Date,Total Sell Value,P&L,Strategy Name
2001-02-13,45.94,43.2,2.74,1000,364,16722.16,45.05,2001-02-27,16398.2,-323.96,System 1 (Daily RSI Only)
2001-02-28,46.4,45.65,0.75,1000,1328,61619.2,45.79,2001-03-05,60809.12,-810.08,System 1 (Daily RSI Only)
2001-05-17,42.86,39.74,3.12,1000,320,13715.2,41.99,2001-06-04,13436.8,-278.4,System 1 (Daily RSI Only)
2001-11-15,31.16,29.78,1.38,1000,722,22497.52,33.87,2001-12-27,24454.14,1956.62,System 1 (Daily RSI Only)
2002-01-04,35.97,34.58,1.39,1000,719,25862.43,34.91,2002-01-18,25100.29,-762.14,System 1 (Daily RSI Only)
2002-02-19,35.95,34.68,1.27,1000,790,28400.5,34.49,2002-02-28,27247.1,-1153.4,System 1 (Daily RSI Only)
2002-06-11,32.4,30.39,2.01,1000,497,16102.8,30.57,2002-06-25,15193.29,-909.51,System 1 (Daily RSI Only)
2002-09-02,29.72,27.51,2.21,1000,451,13403.72,28.63,2002-09-20,12912.13,-491.59,System 1 (Daily RSI Only)
2002-10-31,29.75,26.72,3.03,1000,330,9817.5,32.48,2002-12-18,10718.4,900.9,System 1 (Daily RSI Only)
2002-12-26,33.67,32.82,0.85,1000,1179,39696.93,32.89,2003-01-02,38777.31,-919.62,System 1 (Daily RSI Only)
2003-02-21,33.04,31.64,1.4,1000,714,23590.56,32.38,2003-03-05,23119.32,-471.24,System 1 (Daily RSI Only)
2003-04-07,33.63,31.95,1.68,1000,596,20043.48,31.96,2003-04-10,19048.16,-995.32,System 1 (Daily RSI Only)
2003-05-28,32.27,30.28,1.99,1000,503,16231.81,36.95,2003-07-23,18585.85,2354.04,System 1 (Daily RSI Only)
2003-07-24,38.3,37.28,1.02,1000,982,37610.6,45.59,2003-09-17,44769.38,7158.78,System 1 (Daily RSI Only)
2003-09-24,48.07,46.39,1.68,1000,594,28553.58,51.41,2003-10-23,30537.54,1983.96,System 1 (Daily RSI Only)
2003-10-25,53.27,52.0,1.27,1000,790,42083.3,51.43,2003-10-27,40629.7,-1453.6,System 1 (Daily RSI Only)
2003-10-31,54.5,52.78,1.71,1000,583,31773.5,53.54,2003-11-13,31213.82,-559.68,System 1 (Daily RSI Only)
2003-12-01,55.15,53.25,1.9,1000,526,29008.9,61.96,2004-01-21,32590.96,3582.06,System 1 (Daily RSI Only)
2004-02-10,66.47,64.18,2.29,1000,436,28980.92,63.34,2004-02-23,27616.24,-1364.68,System 1 (Daily RSI Only)
2004-04-05,64.44,60.61,3.83,1000,260,16754.4,60.44,2004-04-27,15714.4,-1040.0,System 1 (Daily RSI Only)
2004-07-23,52.24,48.76,3.48,1000,287,14992.88,52.72,2004-08-18,15130.64,137.76,System 1 (Daily RSI Only)
2004-09-09,54.42,52.78,1.64,1000,609,33141.78,60.15,2004-10-25,36631.35,3489.57,System 1 (Daily RSI Only)
2004-10-26,61.82,60.61,1.21,1000,827,51125.14,60.57,2004-10-27,50091.39,-1033.75,System 1 (Daily RSI Only)
2005-01-03,60.94,57.02,3.92,1000,255,15539.7,57.58,2005-01-14,14682.9,-856.8,System 1 (Daily RSI Only)
2005-02-01,60.84,58.52,2.32,1000,430,26161.2,63.03,2005-03-17,27102.9,941.7,System 1 (Daily RSI Only)
2005-06-04,62.21,59.93,2.28,1000,439,27310.19,68.79,2005-07-07,30198.81,2888.62,System 1 (Daily RSI Only)
2005-07-12,71.52,70.81,0.71,1000,1399,100056.48,70.69,2005-07-13,98895.31,-1161.17,System 1 (Daily RSI Only)
2005-07-14,71.88,71.41,0.47,1000,2111,151738.68,78.41,2005-08-16,165523.51,13784.83,System 1 (Daily RSI Only)
2005-08-31,80.6,79.33,1.27,1000,786,63351.6,86.86,2005-10-13,68271.96,4920.36,System 1 (Daily RSI Only)
2005-11-11,89.12,86.11,3.01,1000,332,29587.84,94.44,2005-12-23,31354.08,1766.24,System 1 (Daily RSI Only)
2005-12-27,97.13,95.26,1.87,1000,533,51770.29,97.81,2006-01-16,52132.73,362.44,System 1 (Daily RSI Only)
2006-01-17,104.03,99.35,4.68,1000,213,22158.39,77.73,2006-01-18,16556.49,-5601.9,System 1 (Daily RSI Only)
2006-03-16,86.11,80.29,5.82,1000,171,14724.81,114.47,2006-05-15,19574.37,4849.56,System 1 (Daily RSI Only)
2006-05-17,121.7,117.43,4.27,1000,234,28477.8,112.58,2006-05-18,26343.72,-2134.08,System 1 (Daily RSI Only)
2006-06-30,118.75,105.52,13.22,1000,75,8906.25,115.56,2006-07-17,8667.0,-239.25,System 1 (Daily RSI Only)
2006-08-16,117.25,110.8,6.45,1000,154,18056.5,121.87,2006-09-11,18767.98,711.48,System 1 (Daily RSI Only)
2006-09-14,126.2,124.18,2.02,1000,494,62342.8,125.25,2006-09-19,61873.5,-469.3,System 1 (Daily RSI Only)
2006-09-21,127.61,125.87,1.74,1000,574,73248.14,128.1,2006-10-11,73529.4,281.26,System 1 (Daily RSI Only)
2006-10-12,130.95,129.09,1.86,1000,536,70189.2,131.65,2006-10-26,70564.4,375.2,System 1 (Daily RSI Only)
2006-10-27,137.0,132.24,4.76,1000,210,28770.0,141.44,2006-11-24,29702.4,932.4,System 1 (Daily RSI Only)
2006-12-05,143.36,141.7,1.66,1000,602,86302.72,138.93,2006-12-11,83635.86,-2666.86,System 1 (Daily RSI Only)
2007-01-12,150.08,143.15,6.93,1000,144,21611.52,152.26,2007-02-12,21925.44,313.92,System 1 (Daily RSI Only)
2007-02-15,157.64,154.31,3.33,1000,300,47292.0,151.54,2007-02-28,45462.0,-1830.0,System 1 (Daily RSI Only)
2007-04-13,158.2,151.73,6.47,1000,154,24362.8,189.5,2007-06-06,29183.0,4820.2,System 1 (Daily RSI Only)
2007-07-13,198.66,191.66,7.0,1000,142,28209.72,201.42,2007-08-01,28601.64,391.92,System 1 (Daily RSI Only)
2007-08-30,214.23,202.94,11.29,1000,88,18852.24,276.67,2007-10-19,24346.96,5494.72,System 1 (Daily RSI Only)
2007-10-23,291.29,279.26,12.04,1000,83,24177.07,303.58,2007-11-21,25197.14,1020.07,System 1 (Daily RSI Only)
2007-11-26,323.19,309.81,13.38,1000,74,23916.06,316.29,2007-12-10,23405.46,-510.6,System 1 (Daily RSI Only)
2008-01-04,335.34,318.81,16.53,1000,60,20120.4,313.67,2008-01-18,18820.2,-1300.2,System 1 (Daily RSI Only)
2008-04-11,285.88,259.88,26.0,1000,38,10863.44,283.29,2008-05-09,10765.02,-98.42,System 1 (Daily RSI Only)
2008-07-24,258.6,233.94,24.66,1000,40,10344.0,233.4,2008-07-29,9336.0,-1008.0,System 1 (Daily RSI Only)
2008-12-16,155.57,130.27,25.3,1000,39,6067.23,135.59,2008-12-26,5288.01,-779.22,System 1 (Daily RSI Only)
2009-01-05,153.03,142.61,10.42,1000,95,14537.85,134.54,2009-01-07,12781.3,-1756.55,System 1 (Daily RSI Only)
2009-02-09,155.71,137.54,18.17,1000,55,8564.05,141.99,2009-02-17,7809.45,-754.6,System 1 (Daily RSI Only)
2009-03-23,161.17,141.73,19.44,1000,51,8219.67,244.12,2009-06-15,12450.12,4230.45,System 1 (Daily RSI Only)
2009-09-09,242.96,223.69,19.27,1000,51,12390.96,235.43,2009-10-07,12006.93,-384.03,System 1 (Daily RSI Only)
2009-10-16,248.59,240.18,8.41,1000,118,29333.62,239.23,2009-10-22,28229.14,-1104.48,System 1 (Daily RSI Only)
2009-11-23,245.93,228.62,17.31,1000,57,14018.01,236.41,2009-12-07,13475.37,-542.64,System 1 (Daily RSI Only)
2010-01-07,247.85,238.32,9.53,1000,104,25776.4,241.45,2010-01-20,25110.8,-665.6,System 1 (Daily RSI Only)
2010-03-16,239.31,224.92,14.39,1000,69,16512.39,244.41,2010-04-15,16864.29,351.9,System 1 (Daily RSI Only)
2010-06-28,244.29,233.76,10.53,1000,94,22963.26,236.08,2010-07-07,22191.52,-771.74,System 1 (Daily RSI Only)
2010-09-15,227.2,215.66,11.54,1000,86,19539.2,221.23,2010-09-30,19025.78,-513.42,System 1 (Daily RSI Only)
2010-10-06,234.16,225.49,8.67,1000,115,26928.4,238.72,2010-11-03,27452.8,524.4,System 1 (Daily RSI Only)
2010-11-04,247.62,240.33,7.29,1000,137,33923.94,241.99,2010-11-11,33152.63,-771.31,System 1 (Daily RSI Only)
2010-12-21,240.48,227.9,12.58,1000,79,18997.92,231.58,2011-01-10,18294.82,-703.1,System 1 (Daily RSI Only)
2011-03-14,228.2,217.6,10.6,1000,94,21450.8,221.91,2011-03-21,20859.54,-591.26,System 1 (Daily RSI Only)
2011-03-30,231.37,225.65,5.72,1000,174,40258.38,229.44,2011-04-08,39922.56,-335.82,System 1 (Daily RSI Only)
2011-09-08,191.02,173.16,17.86,1000,55,10506.1,176.21,2011-09-22,9691.55,-814.55,System 1 (Daily RSI Only)
2011-10-14,194.26,181.65,12.61,1000,79,15346.54,193.04,2011-11-15,15250.16,-96.38,System 1 (Daily RSI Only)
2012-01-20,177.62,164.13,13.49,1000,74,13143.88,182.06,2012-02-16,13472.44,328.56,System 1 (Daily RSI Only)
2012-06-08,163.52,156.14,7.38,1000,135,22075.2,159.33,2012-06-22,21509.55,-565.65,System 1 (Daily RSI Only)
2012-07-31,166.63,162.66,3.97,1000,251,41824.13,175.27,2012-08-29,43992.77,2168.64,System 1 (Daily RSI Only)
2012-09-14,188.62,177.03,11.59,1000,86,16221.32,183.62,2012-10-08,15791.32,-430.0,System 1 (Daily RSI Only)
2012-12-04,184.8,176.63,8.17,1000,122,22545.6,183.91,2012-12-24,22437.02,-108.58,System 1 (Daily RSI Only)
2013-01-02,190.01,186.76,3.25,1000,307,58333.07,188.21,2013-01-11,57780.47,-552.6,System 1 (Daily RSI Only)
2013-01-16,193.02,188.97,4.05,1000,247,47675.94,196.02,2013-02-05,48416.94,741.0,System 1 (Daily RSI Only)
2013-05-16,188.38,180.57,7.81,1000,128,24112.64,175.78,2013-05-23,22499.84,-1612.8,System 1 (Daily RSI Only)
2013-06-28,193.3,180.17,13.13,1000,76,14690.8,198.47,2013-07-29,15083.72,392.92,System 1 (Daily RSI Only)
2013-10-18,202.94,192.61,10.33,1000,96,19482.24,198.52,2013-11-07,19057.92,-424.32,System 1 (Daily RSI Only)
2013-12-23,200.84,193.41,7.43,1000,134,26912.56,196.07,2014-01-02,26273.38,-639.18,System 1 (Daily RSI Only)
2014-03-07,194.82,182.55,12.27,1000,81,15780.42,211.76,2014-04-28,17152.56,1372.14,System 1 (Daily RSI Only)
2014-05-06,215.87,213.28,2.59,1000,386,83325.82,245.18,2014-06-12,94639.48,11313.66,System 1 (Daily RSI Only)
2014-09-02,229.42,223.17,6.25,1000,160,36707.2,224.7,2014-09-15,35952.0,-755.2,System 1 (Daily RSI Only)
2014-10-31,224.21,212.23,11.98,1000,83,18609.43,215.48,2014-12-01,17884.84,-724.59,System 1 (Daily RSI Only)
2015-01-29,208.26,195.96,12.3,1000,81,16869.06,197.64,2015-02-10,16008.84,-860.22,System 1 (Daily RSI Only)
2015-04-09,200.58,189.52,11.06,1000,90,18052.2,193.88,2015-04-28,17449.2,-603.0,System 1 (Daily RSI Only)
2015-06-17,208.67,200.72,7.95,1000,125,26083.75,225.28,2015-07-27,28160.0,2076.25,System 1 (Daily RSI Only)
2015-10-07,204.77,193.83,10.94,1000,91,18634.07,206.77,2015-11-10,18816.07,182.0,System 1 (Daily RSI Only)
2015-11-24,216.85,211.26,5.59,1000,178,38599.3,213.34,2015-12-07,37974.52,-624.78,System 1 (Daily RSI Only)
2015-12-17,226.26,215.73,10.53,1000,94,21268.44,227.86,2016-01-18,21418.84,150.4,System 1 (Daily RSI Only)
2016-03-03,226.96,214.21,12.75,1000,78,17702.88,230.12,2016-04-05,17949.36,246.48,System 1 (Daily RSI Only)
2016-04-12,234.71,231.48,3.23,1000,309,72525.39,232.44,2016-04-20,71823.96,-701.43,System 1 (Daily RSI Only)
2016-07-05,222.54,218.34,4.2,1000,238,52964.52,222.73,2016-08-03,53009.74,45.22,System 1 (Daily RSI Only)
2016-08-09,230.96,227.23,3.73,1000,268,61897.28,224.9,2016-08-10,60273.2,-1624.08,System 1 (Daily RSI Only)
2016-08-29,236.96,228.02,8.94,1000,111,26302.56,227.08,2016-09-02,25205.88,-1096.68,System 1 (Daily RSI Only)
2016-09-15,238.65,231.12,7.53,1000,132,31501.8,236.89,2016-10-13,31269.48,-232.32,System 1 (Daily RSI Only)
2016-12-13,233.0,224.26,8.74,1000,114,26562.0,233.33,2017-01-17,26599.62,37.62,System 1 (Daily RSI Only)
2017-02-16,239.21,232.16,7.05,1000,141,33728.61,280.35,2017-03-27,39529.35,5800.74,System 1 (Daily RSI Only)
2017-03-31,295.99,287.17,8.82,1000,113,33446.87,307.12,2017-05-02,34704.56,1257.69,System 1 (Daily RSI Only)
2017-06-15,310.12,298.25,11.87,1000,84,26050.08,355.03,2017-08-10,29822.52,3772.44,System 1 (Daily RSI Only)
2017-09-05,365.84,354.25,11.59,1000,86,31462.24,366.33,2017-09-22,31504.38,42.14,System 1 (Daily RSI Only)
2017-10-10,377.89,369.94,7.95,1000,125,47236.25,406.35,2017-11-07,50793.75,3557.5,System 1 (Daily RSI Only)
2017-11-21,417.94,411.67,6.27,1000,159,66452.46,407.88,2017-12-01,64852.92,-1599.54,System 1 (Daily RSI Only)
2018-01-09,421.7,412.71,8.99,1000,111,46808.7,413.64,2018-01-16,45914.04,-894.66,System 1 (Daily RSI Only)
2018-01-22,435.39,416.7,18.69,1000,53,23075.67,423.0,2018-02-01,22419.0,-656.67,System 1 (Daily RSI Only)
2018-04-13,420.76,405.99,14.77,1000,67,28190.92,428.52,2018-05-16,28710.84,519.92,System 1 (Daily RSI Only)
2018-06-07,435.33,421.66,13.67,1000,73,31779.09,438.73,2018-06-26,32027.29,248.2,System 1 (Daily RSI Only)
2018-07-10,459.68,444.88,14.8,1000,67,30798.56,550.86,2018-09-03,36907.62,6109.06,System 1 (Daily RSI Only)
2018-09-07,573.03,558.26,14.77,1000,67,38393.01,554.7,2018-09-11,37164.9,-1228.11,System 1 (Daily RSI Only)
2018-11-29,523.68,496.45,27.23,1000,36,18852.48,503.58,2018-12-06,18128.88,-723.6,System 1 (Daily RSI Only)
2019-01-18,530.79,499.26,31.52,1000,31,16454.49,548.65,2019-02-14,17008.15,553.66,System 1 (Daily RSI Only)
2019-03-07,569.28,556.8,12.48,1000,80,45542.4,595.73,2019-04-08,47658.4,2116.0,System 1 (Daily RSI Only)
2019-04-18,621.14,607.26,13.88,1000,72,44722.08,602.94,2019-04-22,43411.68,-1310.4,System 1 (Daily RSI Only)
2019-04-24,622.73,608.54,14.19,1000,70,43591.1,602.11,2019-05-07,42147.7,-1443.4,System 1 (Daily RSI Only)
2019-08-14,577.35,543.01,34.34,1000,29,16743.15,540.67,2019-09-03,15679.43,-1063.72,System 1 (Daily RSI Only)
2019-09-26,581.18,551.61,29.57,1000,33,19178.94,700.35,2019-12-17,23111.55,3932.61,System 1 (Daily RSI Only)
2019-12-18,706.24,701.03,5.21,1000,191,134891.84,693.07,2019-12-24,132376.37,-2515.47,System 1 (Daily RSI Only)
2020-04-22,611.12,505.43,105.69,1000,9,5500.08,639.54,2020-05-19,5755.86,255.78,System 1 (Daily RSI Only)
2020-06-01,690.13,663.26,26.87,1000,37,25534.81,949.33,2020-08-17,35125.21,9590.4,System 1 (Daily RSI Only)
2020-08-18,961.67,957.98,3.69,1000,270,259650.9,951.92,2020-08-20,257018.4,-2632.5,System 1 (Daily RSI Only)
2020-08-26,970.19,957.68,12.51,1000,79,76645.01,944.49,2020-08-31,74614.71,-2030.3,System 1 (Daily RSI Only)
2020-09-09,981.1,956.31,24.79,1000,40,39244.0,990.11,2020-09-24,39604.4,360.4,System 1 (Daily RSI Only)
2020-10-13,1035.28,1019.53,15.75,1000,63,65222.64,1001.6,2020-10-15,63100.8,-2121.84,System 1 (Daily RSI Only)
2021-01-20,932.69,893.38,39.31,1000,25,23317.25,881.08,2021-01-25,22027.0,-1290.25,System 1 (Daily RSI Only)
2021-02-11,933.15,889.57,43.58,1000,22,20529.3,957.29,2021-03-15,21060.38,531.08,System 1 (Daily RSI Only)
2021-05-28,950.89,891.65,59.24,1000,16,15214.24,977.54,2021-06-24,15640.64,426.4,System 1 (Daily RSI Only)
2021-08-16,986.62,951.01,35.61,1000,28,27625.36,1181.04,2021-10-25,33069.12,5443.76,System 1 (Daily RSI Only)
2021-10-26,1207.93,1190.57,17.36,1000,57,68852.01,1179.58,2021-10-28,67236.06,-1615.95,System 1 (Daily RSI Only)
2022-01-12,1144.4,1087.94,56.46,1000,17,19454.8,1079.4,2022-01-24,18349.8,-1105.0,System 1 (Daily RSI Only)
2022-03-22,1148.97,1076.97,72.0,1000,13,14936.61,1162.54,2022-04-12,15113.02,176.41,System 1 (Daily RSI Only)
2022-04-19,1198.74,1178.52,20.22,1000,49,58738.26,1198.78,2022-05-05,58740.22,1.96,System 1 (Daily RSI Only)
2022-06-02,1236.64,1160.7,75.94,1000,13,16076.32,1192.97,2022-06-14,15508.61,-567.71,System 1 (Daily RSI Only)
2022-08-01,1168.8,1107.58,61.22,1000,16,18700.8,1179.15,2022-08-29,18866.4,165.6,System 1 (Daily RSI Only)
2022-10-31,1157.34,1104.91,52.43,1000,19,21989.46,1157.93,2022-11-21,22000.67,11.21,System 1 (Daily RSI Only)
2022-11-25,1188.21,1171.12,17.09,1000,58,68916.18,1184.35,2022-12-09,68692.3,-223.88,System 1 (Daily RSI Only)
2023-04-28,1098.74,1062.75,35.99,1000,27,29665.98,1107.7,2023-05-24,29907.9,241.92,System 1 (Daily RSI Only)
2023-05-26,1137.78,1115.28,22.5,1000,44,50062.32,1118.14,2023-06-01,49198.16,-864.16,System 1 (Daily RSI Only)
2023-06-07,1133.99,1121.27,12.72,1000,78,88451.22,1132.81,2023-06-26,88359.18,-92.04,System 1 (Daily RSI Only)
2023-07-03,1178.93,1146.53,32.4,1000,30,35367.9,1243.18,2023-08-02,37295.4,1927.5,System 1 (Daily RSI Only)
2023-08-11,1273.58,1262.23,11.35,1000,88,112075.04,1260.0,2023-08-21,110880.0,-1195.04,System 1 (Daily RSI Only)
2023-11-22,1194.1,1162.22,31.88,1000,31,37017.1,1328.58,2024-01-23,41185.98,4168.88,System 1 (Daily RSI Only)
2024-01-25,1353.08,1333.74,19.34,1000,51,69007.08,1455.63,2024-02-28,74237.13,5230.05,System 1 (Daily RSI Only)
2024-03-01,1492.13,1465.98,26.15,1000,38,56700.94,1478.93,2024-03-07,56199.34,-501.6,System 1 (Daily RSI Only)
2024-05-23,1486.05,1435.2,50.85,1000,19,28234.95,1424.85,2024-05-30,27072.15,-1162.8,System 1 (Daily RSI Only)
2024-06-03,1510.33,1437.42,72.91,1000,13,19634.29,1397.28,2024-06-04,18164.64,-1469.65,System 1 (Daily RSI Only)
2024-06-26,1514.03,1456.87,57.16,1000,17,25738.51,1500.68,2024-07-22,25511.56,-226.95,System 1 (Daily RSI Only)
2024-09-27,1526.18,1484.46,41.72,1000,23,35102.14,1479.0,2024-09-30,34017.0,-1085.14,System 1 (Daily RSI Only)
2025-01-17,1302.35,1237.45,64.9,1000,15,19535.25,1246.3,2025-01-24,18694.5,-840.75,System 1 (Daily RSI Only)
2025-03-20,1269.15,1223.36,45.8,1000,21,26652.15,1248.7,2025-04-03,26222.7,-429.45,System 1 (Daily RSI Only)
2025-04-21,1295.5,1248.26,47.24,1000,21,27205.5,1422.1,2025-05-27,29864.1,2658.6,System 1 (Daily RSI Only)
2025-06-05,1442.4,1424.44,17.96,1000,55,79332.0,1427.9,2025-06-13,78534.5,-797.5,System 1 (Daily RSI Only)
2025-06-20,1466.2,1432.07,34.13,1000,29,42519.8,1483.7,2025-07-14,43027.3,507.5,System 1 (Daily RSI Only)
2025-10-17,1416.8,1380.84,35.96,1000,27,38253.6,1529.4,2025-12-09,41293.8,3040.2,System 1 (Daily RSI Only)
2025-12-12,1556.5,1543.34,13.15,1000,76,118294.0,1542.3,2025-12-16,117214.8,-1079.2,System 1 (Daily RSI Only)
2025-12-19,1565.1,1548.35,16.75,1000,59,92340.9,1545.6,2025-12-29,91190.4,-1150.5,System 1 (Daily RSI Only)
2025-12-31,1570.4,1549.88,20.53,1000,48,75379.2,1507.6,2026-01-06,72364.8,-3014.4,System 1 (Daily RSI Only)
