ENTRY DATE,ENTRY PRICE,STOP LOSS,RISK PER SHARE,RISK PER TRADE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,STRATEGY
21/02/2002,22.95,21.81,1.14,1000,875,20081.25,22.57,28/02/2002,19749.62,-331.62,System 1
09/01/2003,26.87,26.48,0.39,1000,2554,68625.98,26.56,13/01/2003,67830.41,-795.57,System 1
16/01/2003,27.04,26.61,0.43,1000,2312,62516.48,26.89,27/01/2003,62169.68,-346.8,System 1
06/02/2003,28.83,27.27,1.56,1000,639,18422.37,28.16,26/02/2003,17991.05,-431.32,System 1
17/06/2003,33.45,32.8,0.65,1000,1534,51312.3,33.06,19/06/2003,50713.27,-599.03,System 1
24/06/2003,33.67,33.28,0.39,1000,2538,85454.46,36.92,22/07/2003,93695.35,8240.89,System 1
24/07/2003,38.09,37.2,0.89,1000,1126,42889.34,38.61,06/08/2003,43474.86,585.52,System 1
11/08/2003,40.59,39.21,1.38,1000,724,29387.16,40.11,25/08/2003,29037.47,-349.69,System 1
27/08/2003,42.79,40.28,2.51,1000,399,17073.21,40.65,03/09/2003,16218.75,-854.46,System 1
11/09/2003,42.46,41.14,1.32,1000,758,32184.68,41.17,15/09/2003,31206.1,-978.58,System 1
06/10/2003,43.7,40.76,2.94,1000,340,14858.0,39.51,13/10/2003,13433.4,-1424.6,System 1
24/10/2003,46.24,44.54,1.7,1000,588,27189.12,45.16,28/10/2003,26554.37,-634.75,System 1
19/12/2003,46.07,44.07,2.0,1000,499,22988.93,56.23,21/01/2004,28059.02,5070.09,System 1
27/01/2004,60.97,57.59,3.38,1000,295,17986.15,58.28,29/01/2004,17192.6,-793.55,System 1
21/04/2004,60.63,57.9,2.73,1000,366,22190.58,59.03,27/04/2004,21604.25,-586.33,System 1
09/02/2005,61.31,57.25,4.06,1000,246,15082.26,57.53,10/02/2005,14152.87,-929.39,System 1
15/07/2005,67.61,65.31,2.3,1000,435,29410.35,74.41,22/08/2005,32366.61,2956.26,System 1
02/09/2005,75.77,74.75,1.02,1000,979,74178.83,80.42,29/09/2005,78731.18,4552.35,System 1
11/10/2005,88.16,86.58,1.58,1000,633,55805.28,86.7,13/10/2005,54880.15,-925.13,System 1
28/11/2005,87.76,82.12,5.64,1000,177,15533.52,82.61,29/11/2005,14622.5,-911.02,System 1
14/12/2005,87.39,84.95,2.44,1000,409,35742.51,84.89,15/12/2005,34718.99,-1023.52,System 1
19/12/2005,88.59,85.34,3.25,1000,307,27197.13,85.54,21/12/2005,26260.63,-936.5,System 1
31/03/2006,91.04,89.06,1.98,1000,505,45975.2,91.13,10/04/2006,46022.42,47.22,System 1
12/10/2006,96.71,94.48,2.23,1000,447,43229.37,96.55,23/10/2006,43157.85,-71.52,System 1
26/10/2006,100.25,96.87,3.38,1000,295,29573.75,119.77,11/12/2006,35331.56,5757.81,System 1
19/06/2007,128.96,126.08,2.88,1000,346,44620.16,146.8,25/07/2007,50792.45,6172.29,System 1
31/07/2007,152.64,147.47,5.17,1000,193,29459.52,147.4,01/08/2007,28447.62,-1011.9,System 1
03/08/2007,153.76,148.01,5.75,1000,173,26600.48,148.53,06/08/2007,25696.38,-904.1,System 1
13/09/2007,157.41,147.35,10.06,1000,99,15583.59,167.09,08/10/2007,16542.16,958.57,System 1
09/10/2007,177.66,168.27,9.39,1000,106,18831.96,160.74,17/10/2007,17038.44,-1793.52,System 1
30/11/2007,216.43,212.32,4.11,1000,243,52592.49,218.82,17/12/2007,53173.99,581.5,System 1
02/01/2008,227.79,222.96,4.83,1000,207,47152.53,223.39,07/01/2008,46242.66,-909.87,System 1
08/01/2008,231.67,223.53,8.14,1000,122,28263.74,224.34,16/01/2008,27369.6,-894.14,System 1
03/07/2009,180.97,172.12,8.85,1000,112,20268.64,171.91,06/07/2009,19253.58,-1015.06,System 1
12/10/2009,217.27,209.84,7.43,1000,134,29114.18,224.7,27/10/2009,30110.47,996.29,System 1
10/11/2009,236.89,228.17,8.72,1000,114,27005.46,229.3,12/11/2009,26140.43,-865.03,System 1
10/05/2010,230.79,219.92,10.87,1000,91,21001.89,224.25,14/05/2010,20406.8,-595.09,System 1
15/06/2010,236.42,226.78,9.64,1000,103,24351.26,232.1,25/06/2010,23906.09,-445.17,System 1
28/07/2010,247.13,239.78,7.35,1000,136,33609.68,275.71,31/08/2010,37496.63,3886.95,System 1
06/09/2010,285.91,279.0,6.92,1000,144,41171.04,281.51,08/09/2010,40537.94,-633.1,System 1
03/11/2010,327.26,320.49,6.77,1000,147,48107.22,323.32,10/11/2010,47527.38,-579.84,System 1
18/10/2012,227.82,224.91,2.91,1000,343,78142.26,225.58,19/10/2012,77373.94,-768.32,System 1
14/12/2012,232.03,219.36,12.66,1000,78,18098.34,243.58,16/01/2013,18998.93,900.59,System 1
18/01/2013,249.21,244.62,4.59,1000,217,54078.57,246.11,22/01/2013,53405.65,-672.92,System 1
25/01/2013,251.37,247.68,3.69,1000,271,68121.27,248.39,29/01/2013,67314.23,-807.04,System 1
25/06/2014,269.19,264.77,4.42,1000,226,60836.94,265.02,26/06/2014,59895.65,-941.29,System 1
02/07/2014,270.23,265.99,4.24,1000,235,63504.05,265.2,08/07/2014,62322.82,-1181.23,System 1
10/12/2014,315.95,305.47,10.48,1000,95,30015.25,309.2,12/12/2014,29373.95,-641.3,System 1
01/01/2015,314.0,309.46,4.54,1000,220,69080.0,308.32,06/01/2015,67830.4,-1249.6,System 1
15/01/2015,320.3,307.8,12.5,1000,80,25624.0,314.95,30/01/2015,25195.8,-428.2,System 1
25/07/2016,229.9,224.23,5.67,1000,176,40462.4,226.98,01/08/2016,39948.92,-513.48,System 1
12/08/2016,243.3,229.78,13.52,1000,73,17760.9,253.82,12/09/2016,18528.86,767.96,System 1
10/11/2016,281.3,256.78,24.52,1000,40,11252.0,261.92,21/11/2016,10476.6,-775.4,System 1
13/04/2017,291.55,284.25,7.3,1000,136,39650.8,286.09,19/04/2017,38908.92,-741.88,System 1
11/05/2017,298.1,290.24,7.86,1000,127,37858.7,295.58,22/05/2017,37538.98,-319.72,System 1
09/11/2017,313.7,289.81,23.89,1000,41,12861.7,328.06,29/11/2017,13450.46,588.76,System 1
20/08/2018,307.65,294.66,12.99,1000,76,23381.4,298.48,23/08/2018,22684.1,-697.3,System 1
27/08/2018,308.0,300.92,7.08,1000,141,43428.0,304.42,04/09/2018,42923.92,-504.07,System 1
09/04/2019,314.75,307.94,6.81,1000,146,45953.5,310.23,11/04/2019,45293.94,-659.56,System 1
24/06/2019,353.2,347.67,5.53,1000,180,63576.0,353.5,09/07/2019,63630.0,54.0,System 1
17/07/2019,372.4,360.44,11.96,1000,83,30909.2,361.69,19/07/2019,30020.27,-888.93,System 1
24/12/2020,266.85,262.69,4.16,1000,240,64044.0,288.59,22/01/2021,69261.0,5217.0,System 1
01/02/2021,310.7,290.96,19.74,1000,50,15535.0,393.37,02/03/2021,19668.62,4133.62,System 1
17/05/2021,383.1,352.81,30.29,1000,33,12642.3,418.9,14/06/2021,13823.78,1181.48,System 1
25/06/2021,428.8,426.62,2.18,1000,458,196390.4,426.74,28/06/2021,195445.78,-944.62,System 1
05/07/2021,432.65,423.88,8.77,1000,114,49322.1,424.19,08/07/2021,48357.38,-964.72,System 1
29/07/2021,441.55,427.88,13.67,1000,73,32233.15,431.38,09/08/2021,31490.92,-742.23,System 1
29/09/2021,460.0,439.98,20.02,1000,49,22540.0,509.39,11/11/2021,24960.23,2420.23,System 1
25/01/2022,514.65,494.76,19.89,1000,50,25732.5,519.66,08/02/2022,25983.0,250.5,System 1
12/08/2022,530.7,519.71,10.99,1000,91,48293.7,526.26,19/08/2022,47889.2,-404.5,System 1
15/11/2022,600.85,580.44,20.41,1000,48,28840.8,601.28,30/11/2022,28861.32,20.52,System 1
01/12/2022,608.1,602.99,5.11,1000,195,118579.5,604.6,07/12/2022,117897.98,-681.52,System 1
08/12/2022,611.65,604.9,6.75,1000,148,90524.2,609.64,16/12/2022,90227.46,-296.74,System 1
01/02/2024,647.65,628.86,18.79,1000,53,34325.45,763.94,12/03/2024,40488.69,6163.24,System 1
02/04/2024,766.4,754.36,12.04,1000,83,63611.2,752.65,05/04/2024,62470.16,-1141.04,System 1
10/04/2024,779.05,750.95,28.1,1000,35,27266.75,751.79,15/04/2024,26312.65,-954.1,System 1
25/04/2024,812.7,762.64,50.07,1000,19,15441.3,802.63,16/05/2024,15249.97,-191.33,System 1
18/05/2024,821.0,809.81,11.19,1000,89,73069.0,815.32,22/05/2024,72563.92,-505.07,System 1
23/05/2024,832.1,818.28,13.83,1000,72,59911.2,820.74,29/05/2024,59093.46,-817.74,System 1
03/06/2024,905.65,825.37,80.28,1000,12,10867.8,824.04,04/06/2024,9888.42,-979.38,System 1
15/07/2024,881.35,848.11,33.24,1000,30,26440.5,857.81,23/07/2024,25734.38,-706.12,System 1
10/10/2025,880.65,858.92,21.74,1000,46,40509.9,968.54,02/12/2025,44552.61,4042.71,System 1
19/12/2025,980.3,968.25,12.05,1000,82,80384.6,966.78,26/12/2025,79275.55,-1109.05,System 1
